user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi001,2016/05/17 17:04:00,,48,5,51,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:05:00,,56,0,71,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:06:00,,100,0,75,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:07:00,,99,0,82,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:08:00,,39,31,86,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:09:00,,97,26,65,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:10:00,,100,26,72,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:11:00,,100,21,73,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:12:00,,65,0,65,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:13:00,,91,5,76,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:14:00,,81,11,83,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:15:00,,56,45,84,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:16:00,,89,91,85,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:17:00,,80,3,75,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:18:00,,66,0,80,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:19:00,,69,0,83,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:20:00,,46,45,69,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:21:00,,64,100,64,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:22:00,,30,57,53,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:23:00,,83,35,61,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:24:00,,100,35,66,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:25:00,,96,4,70,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:26:00,,100,0,75,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:27:00,,100,0,75,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:28:00,,58,39,72,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:29:00,,60,12,74,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:30:00,,68,12,71,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:31:00,,82,27,73,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:32:00,,28,46,70,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:33:00,,10,73,62,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:34:00,,25,60,74,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:35:00,,27,63,82,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:36:00,,32,100,88,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:37:00,,76,100,91,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:38:00,,89,100,92,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:39:00,,100,100,92,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:40:00,,100,96,91,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:41:00,,100,90,81,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:42:00,,100,90,77,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:43:00,,100,83,60,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:44:00,,100,79,53,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:45:00,,100,79,59,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:46:00,,62,82,53,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:47:00,,9,25,60,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:48:00,,56,0,70,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:49:00,,69,2,80,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:50:00,,20,41,70,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:51:00,,29,4,52,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:52:00,,21,32,47,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:53:00,,18,22,49,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:55:00,,23,39,79,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:57:00,,13,100,73,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:58:00,,20,60,58,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 17:59:00,,62,32,62,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:00:00,,97,15,73,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:01:00,,100,43,59,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:02:00,,93,43,61,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:03:00,,21,9,78,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:04:00,,94,0,73,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:05:00,,100,0,68,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:06:00,,100,3,76,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:07:00,,88,3,78,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:08:00,,70,1,73,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:09:00,,100,0,75,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:10:00,,100,0,62,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:11:00,,100,17,76,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:12:00,,100,18,78,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:13:00,,91,29,76,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:14:00,,28,51,76,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:15:00,,80,57,74,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:16:00,,50,84,75,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:17:00,,52,99,74,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:18:00,,42,63,65,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:19:00,,19,58,54,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:20:00,,36,34,66,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:21:00,,77,30,70,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:22:00,,30,0,76,2016/05/17 18:23:29,2016/05/17 18:23:29
tamabi001,2016/05/17 18:23:00,,68,1,80,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:24:00,,32,11,77,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:25:00,,100,10,86,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:26:00,,89,17,87,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:27:00,,99,27,86,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:28:00,,42,5,80,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:29:00,,81,0,76,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:30:00,,100,0,80,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:31:00,,68,15,75,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:32:00,,14,41,86,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:33:00,,10,2,84,2016/05/17 19:23:30,2016/05/17 19:23:30
